pkCargo;Cargo
1;Tec Operacao Pl
2;Eng Processamento Sr
3;Eng Equipamentos Sr
4;Eng Petroleo Pl
5;Geologo Pl
6;Quimico Petroleo Sr
7;An Sistemas Pl
8;Administrador Pl
9;Contador Pl
10;Conselheiro C.A.
11;Membro do Comite C.A.
12;Conselheiro C.F.
13;Eng Petroleo Sr
14;Eng Civil Pl
15;PB/0
16;Eng Equipamentos Pl
17;Eng Naval Sr
18;Quimico Petroleo Pl
19;Tec Quimico Petr Pl
20;Eng Civil Sr
21;Eng Naval Pl
22;Tec Manutencao Sr
23;An Ambiental Sr
24;Eng Producao Pl
25;An Sistemas Sr
26;Eng Producao Jr
27;Tec Proj Const Mont Pl
28;Tec Manutencao Pl
29;Tec Insp Equip Inst Sr
30;Eng Processamento Pl
31;Eng Processamento Jr
32;Tec Quimico Petr Sr
33;Tec Operacao Sr
34;PB/NÆo atribu¡do
35;Geologo Sr
36;Geofisico Pl
37;Tec Exploracao Petr Pl
38;Geofisico Sr
39;Eng Meio Ambiente Pl
40;Tec Ambiental Pl
41;Eng Agronomo Pl
42;Requisitado Pleno
43;An Ambiental Pl
44;Tec Informatica Sr
45;Tec Supr Bens Serv Pl
46;Tec Insp Equip Inst Pl
47;Ger. Exec.
48;Prof Comun Soc Pl
49;Prof Comun Soc Sr
50;Requisitado Junior
51;Economista Pl
52;Prof C Hum Soc Pl
53;Administrador Sr
54;Tec Seguranca Pl
55;Tec Seguranca Jr
56;Assistente Social Pl
57;Tec Adm Contr Pl
58;Tec Logist Transp Pl
59;Tec Contabilidade Pl
60;Assist Serv Apoio
61;Psicologo Pl
62;Eng Equipamentos Jr
63;Tec Adm Contr Sr
64;Tec Manutencao Jr
65;Eng Meio Ambiente Sr
66;Arquiteto Pl
67;Bibliotecario Pl
68;An Comerc Log Pl
69;Contador Sr
70;Advogado Pl
71;Tec Informatica Pl
72;Medico Trabalho Sr
73;Economista Sr
74;Auditor Pl
75;Tec Adm Contr Jr
76;Tec Contabilidade Sr
77;Diretor
78;Advogado Sr
79;Arquiteto Sr
80;Requisitado Senior
81;Enferm Trabalho Pl
82;Tec Seguranca Sr
83;Eng Seguranca Pl
84;Tec Enferm Trab Sr
85;Tec Quimico Petr Jr
86;An Comerc Log Sr
87;Eng Producao Sr
88;Tec Exploracao Petr Sr
89;Cons da Presidencia
90;Assessor da Presidencia
91;Eng Seguranca Sr
92;Insp Seg Interna Pl
93;Insp Seg Interna Sr
94;Insp Seg Interna Jr
95;Eng Petroleo Jr
96;Tec Proj Const Mont Sr
97;Tec Comerc Logist Sr
98;Tec Logist Transp Sr
99;Tec Logist Transp Jr
100;1 Oficial Maquinas
101;Medico Trabalho Pl
102;Tec Comerc Logist Pl
103;Tec Perf Pocos Pl
104;Tec Perf Pocos Jr
105;Tec Perf Pocos Sr
106;Eng Telecom Pl
107;Dentista Pl
108;Enferm Trabalho Sr
109;Assistente Social Jr
110;Psicologo Sr
111;Tec Operacao Jr
112;Estatistico Pl
113;Tec Supr Bens Serv Sr
114;Administrador Jr
115;Tec Supr Bens Serv Jr
116;Eng Seguranca Jr
117;Nutricionista Pl
118;Tec Ambiental Sr
119;Tec Insp Equip Inst Jr
120;Tec Proj Const Mont Jr
121;Tec Enferm Trab Pl
122;Eng Telecom Sr
123;Tec Telecom Pl
124;Tec Telecom Sr
125;An Pesq Oper Sr
126;Assistente Social Sr
127;Tec Estabilidade Pl
128;Capitao Cabotagem
129;Tec Estabilidade Sr
130;Capitao Longo Curso
131;Tec Estabilidade Jr
132;Tec Enferm Trab Jr
133;Prof Petrobras NS Master
134;Prof Petrobras NS Pleno
135;Prof Petrobras NS Sˆnior
136;Prof Petrobras NT Pleno
137;Prof Petrobras NT Master
138;Prof Petrobras NT Sˆnior
139;Prof Petrobras NT J£nior
140;Prof Petrobras NS J£nior
141;Advogado Jr
142;Presidente
143;An Pesq Oper Pl
144;Eng Geodesia Pl
145;Eng Civil Jr
146;1 Of  Radiocomunicacao
147;Contador Jr
148;Auditor Sr
149;Nutricionista Sr
150;Prof C Hum Soc Sr
151;Tec Exploracao Petr Jr
152;Oficial Sup. Maquinas
153;An Sistemas Jr
154;Condutor
155;Eng Geodesia Sr
