pkUnidade;Unidade
1;AGP
2;AGP/AA
3;AGP/CP/PROJ-REV-AB
4;AGP/CP/PROJ-REV-MRL-II
5;AGP/PAI/DWST/ENG
6;AGUP
7;AGUP/CP/PROJ-ECO
8;AGUP/GCP
9;AGUP/GCP/ICPROD
10;AGUP/OII/PLC
11;AGUP/OII/PRC
12;AGUP/RES-EE
13;AGUP/RES-EE/EESP
14;AGUP/RES-EE/RES-CO
15;AGUP/RES-EE/RES-CON
16;AGUP/RES-EE/RES-CTPP
17;APD
18;AUDITORIA
19;AUDITORIA/ANEG/ADPT
20;AUDITORIA/ASEF
21;C.A.
22;C.F.
23;CEDIDOS
24;CENPES
25;CENPES/GTEC/GPPT
26;CENPES/GTEC/PIMN
27;CENPES/GTEC/RCT
28;CENPES/PDDP
29;CENPES/PDDP/FCE
30;CENPES/PDDP/TEO
31;CENPES/PDDP/TES
32;CENPES/PDDP/TFCM-SEQUI
33;CENPES/PDDP/TFCM-SEQUI/NCP
34;CENPES/PDDP/TFCM-SEQUI/NFE
35;CENPES/PDDP/TPP
36;CENPES/PDDP/TPP/PEP
37;CENPES/PDEP
38;CENPES/PDEP/BPA
39;CENPES/PDEP/CRF
40;CENPES/PDEP/ER
41;CENPES/PDEP/GEOQ
42;CENPES/PDEP/GEOTEC
43;CENPES/PDEP/GGGR
44;CENPES/PDEP/GSE
45;CENPES/PDEP/IRPS
46;CENPES/PDEP/TEE
47;CENPES/PDISO/AER
48;CENPES/PDISO/AP
49;CENPES/PDISO/BIO
50;CENPES/PDISO/LO
51;CENPES/PDISO/MA
52;CENPES/PDISO/QM
53;CENPES/PDISO/TMC
54;CENPES/PDISO/TME
55;CENPES/PDRGN
56;CENPES/PDRGN/DPM
57;CENPES/PDRGN/EE
58;CENPES/PDRGN/GNPF
59;CENPES/PDRGN/HPE
60;CENPES/PDRGN/PP
61;CENPES/PDRGN/PROD
62;CENPES/PDRGN/TFCC
63;CENPES/SMS
64;COM
65;COM/AIR
66;COM/AIR/BC
67;COM/AIR/NE
68;COM/AIR/NNE
69;COM/AIR/RJMGES
70;COM/AIR/SEDE
71;COM/AIR/SPS
72;COM/CIIM/CI
73;COM/CIIM/CONT
74;COM/CIIM/IM
75;COM/MPM
76;COM/MPM/MA
77;COM/MPM/MI
78;COM/MPM/PB
79;COM/MPM/PD
80;COM/PP
81;COM/RCEP
82;COM/RCEP/EP
83;COM/RCEP/PAT
84;COM/RCEP/PRC
85;COM/RCEP/RC
86;COM/RINP/RIN
87;COMPARTILHADO/CRS-BCBS
88;COMPARTILHADO/CRS-BCBS/NS-BS
89;COMPARTILHADO/CRS-BCBS/NS-BS/AS-SA
90;COMPARTILHADO/CRS-BCBS/NSBC
91;COMPARTILHADO/CRS-BCBS/NSBC/IMBO
92;COMPARTILHADO/CRS-BCBS/NSES
93;COMPARTILHADO/CRS-BCBS/NSES/AS-EDIVIT
94;COMPARTILHADO/CRS-BCBS/PGAC
95;COMPARTILHADO/CRS-BCBS/SOM
96;COMPARTILHADO/CRS-BCBS/SSMS
97;COMPARTILHADO/CRS-BCBS/SSMS/SSMS-BS
98;COMPARTILHADO/CRS-BCBS/SSMS/SSMS-ES
99;COMPARTILHADO/CRS-BCBS/SSMS/SSMS-MC
100;COMPARTILHADO/CRS-NNE
101;COMPARTILHADO/CRS-NNE/NS-BAP
102;COMPARTILHADO/CRS-NNE/NS-BAP/AS-BA
103;COMPARTILHADO/CRS-NNE/NS-RNCE/ASMOS
104;COMPARTILHADO/CRS-NNE/NS-SAPP/AS-SEAL
105;COMPARTILHADO/CRS-NNE/PGAC
106;COMPARTILHADO/CRS-NNE/SOM
107;COMPARTILHADO/CRS-NNE/SSMS
