fkUnidade;fkCargo;fkTipo;fkTempo_Inicio;fkTempo_Termino;fkLocal_Origem;fkLocal_Destino;ValorPassagem
4;1;1;;;273;273;
5;2;1;;;290;225;12.974,06
6;3;1;;;289;173;1.130,98
6;3;1;;;173;289;1.127,74
7;4;1;;;319;289;573,48
7;4;1;;;289;319;515,50
7;4;1;;;273;273;
8;2;1;;;289;173;1.130,98
8;2;1;;;173;289;1.127,74
8;2;1;;;173;289;1.322,94
8;2;1;;;289;173;1.374,30
8;2;1;;;273;273;
8;2;1;;;173;289;1.300,87
8;2;1;;;289;173;1.225,71
8;2;1;;;273;273;
10;4;1;;;172;290;688,81
10;4;1;;;290;172;997,69
10;4;1;;;273;273;
10;4;1;;;289;306;330,09
10;4;1;;;306;289;2,41
10;4;1;;;273;273;
13;2;1;;;164;290;2.306,09
13;2;1;;;290;164;2.626,68
13;2;1;;;273;273;
14;4;1;;;181;289;1,09
14;4;1;;;289;181;1.291,64
14;4;1;;;273;273;
14;5;1;;;289;198;617,27
14;5;1;;;198;289;158,68
15;5;1;;;165;289;2,41
15;5;1;;;289;165;1.883,03
15;5;1;;;273;273;
16;4;1;;;290;292;802,58
16;6;1;;;289;306;475,03
16;6;1;;;273;273;
16;5;1;;;290;292;866,28
16;5;1;;;273;273;
16;5;1;;;292;290;378,62
16;5;1;;;290;292;1.314,33
19;7;1;;;319;289;224,36
19;7;1;;;289;319;378,79
19;7;1;;;273;273;
19;3;1;;;290;292;268,40
19;3;1;;;273;273;
19;3;1;;;289;319;268,19
19;3;1;;;290;292;356,80
19;3;1;;;319;290;697,90
19;8;1;;;319;290;316,80
19;8;1;;;290;319;389,33
19;8;1;;;273;273;
20;8;1;;;290;292;377,16
20;8;1;;;292;290;588,50
20;8;1;;;273;273;
20;9;1;;;290;292;378,25
20;9;1;;;292;290;588,50
20;9;1;;;273;273;
20;9;1;;;307;292;281,13
20;9;1;;;292;307;301,05
20;9;1;;;273;273;
21;10;1;;;289;306;146,30
21;10;1;;;258;307;411,09
21;10;1;;;258;307;377,42
21;10;1;;;306;258;556,60
21;10;1;;;306;289;359,21
21;10;1;;;289;306;253,20
21;10;1;;;306;289;172,41
21;10;1;;;289;306;212,51
21;10;1;;;306;289;422,61
21;11;1;;;258;307;411,09
21;11;1;;;306;258;556,60
22;12;1;;;173;289;726,83
22;12;1;;;273;273;
22;12;1;;;173;289;963,25
22;12;1;;;273;273;
22;12;1;;;173;289;936,13
22;12;1;;;173;289;820,59
22;12;1;;;290;209;344,58
22;12;1;;;273;273;
22;12;1;;;173;289;1.298,46
22;12;1;;;290;209;778,29
22;12;1;;;289;306;2,41
22;12;1;;;306;289;420,20
22;12;1;;;273;273;
22;12;1;;;289;306;2,41
22;12;1;;;306;289;420,20
22;12;1;;;306;289;422,61
22;12;1;;;273;273;
24;13;1;;;163;290;18,08
24;13;1;;;225;163;11.562,23
24;13;1;;;290;163;11.902,86
24;13;1;;;263;290;0,01
24;13;1;;;290;225;1.051,20
24;13;1;;;225;263;10.837,43
24;13;1;;;263;225;10.738,50
24;13;1;;;225;263;5.810,27
25;14;1;;;290;284;874,45
25;14;1;;;273;273;
25;14;1;;;290;284;1.129,06
25;15;2;;;290;284;1.271,20
25;16;1;;;290;284;710,92
25;16;1;;;273;273;
25;15;2;;;290;181;741,61
25;15;2;;;290;211;1.852,07
25;15;2;;;290;209;499,03
25;15;2;;;290;306;425,12
27;3;1;;;306;289;211,19
27;3;1;;;289;306;210,10
27;3;1;;;273;273;
27;16;1;;;306;289;211,19
27;16;1;;;289;306;210,10
27;16;1;;;273;273;
28;17;1;;;289;319;472,67
28;17;1;;;273;273;
29;18;1;;;290;306;802,29
29;18;1;;;306;290;1,09
29;18;1;;;273;273;
29;18;1;;;289;181;834,13
29;18;1;;;273;273;
29;6;1;;;289;306;415,68
29;6;1;;;306;289;1,09
29;6;1;;;289;306;416,77
29;6;1;;;273;273;
29;19;1;;;289;181;834,13
29;19;1;;;273;273;
29;18;1;;;289;181;834,13
29;18;1;;;273;273;
30;17;1;;;289;319;472,67
30;20;1;;;273;273;
30;20;1;;;289;306;420,20
30;20;1;;;306;289;1,09
30;20;1;;;273;273;
30;16;1;;;289;319;472,67
30;21;1;;;289;319;472,67
30;3;1;;;289;306;421,29
30;3;1;;;273;273;
30;22;1;;;290;319;653,85
30;23;1;;;290;209;703,94
30;24;1;;;289;306;421,29
30;24;1;;;273;273;
30;24;1;;;279;289;1,09
30;24;1;;;289;279;600,87
30;25;1;;;289;319;472,67
30;17;1;;;289;306;379,83
30;17;1;;;289;306;421,29
31;3;1;;;162;290;1,09
31;3;1;;;290;162;540,76
32;16;1;;;307;289;327,53
32;16;1;;;273;273;
32;16;1;;;307;319;1.375,63
32;16;1;;;319;307;172,41
32;16;1;;;273;273;
32;22;1;;;289;198;299,65
32;22;1;;;198;289;245,58
32;22;1;;;273;273;
32;22;1;;;290;198;115,52
32;22;1;;;198;289;454,79
32;16;1;;;273;273;
32;16;1;;;289;319;419,31
32;16;1;;;273;273;
32;16;1;;;290;209;354,32
32;16;1;;;273;273;
32;16;1;;;229;306;595,66
32;16;1;;;306;289;1,09
32;16;1;;;273;273;
32;16;1;;;273;273;
32;26;1;;;284;307;299,57
32;26;1;;;307;284;264,39
33;27;1;;;307;284;762,59
33;27;1;;;273;273;
33;27;1;;;307;319;798,41
33;16;1;;;307;259;368,31
33;16;1;;;273;273;
33;14;1;;;198;307;448,97
33;14;1;;;307;198;251,81
33;14;1;;;273;273;
33;16;1;;;289;307;295,07
33;16;1;;;307;289;302,90
33;16;1;;;273;273;
33;14;1;;;307;292;768,90
33;14;1;;;273;273;
33;14;1;;;307;319;798,41
33;28;1;;;289;307;1,09
33;28;1;;;307;289;619,01
33;28;1;;;273;273;
33;16;1;;;279;289;550,40
33;16;1;;;273;273;
33;3;1;;;307;319;346,61
33;3;1;;;273;273;
33;3;1;;;307;319;464,27
33;3;1;;;273;273;
33;3;1;;;307;319;704,77
33;3;1;;;273;273;
33;16;1;;;273;273;
33;3;1;;;279;307;463,91
33;3;1;;;273;273;
33;3;1;;;279;306;695,58
33;16;1;;;307;289;399,45
